Chinese,Trad,Pinyin,English
的,的,de,of
我,我,wǒ,I
你,你,nǐ,"you (informal, as opposed to courteous 您 )"
了,了,le,completed action marker
是,是,shì,is
在,在,zài,(located) at
他,他,tā,he or him
我们,我们,wǒ men,we
不,不,bù,negative prefix
什么,什么,shén me,what?
她,她,tā,she
好,好,hǎo,good
就,就,jiù,at once
有,有,yǒu,to have
吧,吧,ba,(modal particle indicating suggestion or surmise)
知道,知道,zhī dào,to know
都,都,dōu,all
这,这,zhè,this
很,很,hěn,(adverb of degree)
去,去,qù,to go
说,说,shuō,to speak
那,那,nà,that
和,和,hé,and
要,要,yào,important
想,想,xiǎng,to think
也,也,yě,also
人,人,rén,man
把,把,bǎ,to hold
啊,啊,ā,interjection of surprise
他们,他们,tā men,they
会,会,huì,can
我们,我們,wǒ men,we
做,做,zuò,to do
不是,不是,bú shi,fault
来,来,lái,to come
能,能,néng,can
让,让,ràng,to yield
但,但,dàn,but
一个,一个,yī gè,one
对,对,duì,right
到,到,dào,to (a place)
可以,可以,kě yǐ,can
呢,呢,ne,"particle indicating that a previously asked
 question is to be applied to the preceding
  word (""What about ...?"", ""And ...?"")"
给,给,gěi,to
得,得,dé,to obtain
怎么,怎么,zěn me,how?
就是,就是,jiù shì,"emphasizes that sth
is precisely or exactly as stated"
没有,没有,méi yǒu,haven't
上,上,shàng,on top
跟,跟,gēn,heel
你们,你们,nǐ men,you (plural)
还,还,hái,still
被,被,bèi,quilt
没,没,méi,negative prefix for verbs
这个,这个,zhè ge,this
走,走,zǒu,to walk
现在,现在,xiàn zài,now
如果,如果,rú guǒ,if
说,說,shuō,to speak
个,个,gè,individual
事,事,shì,matter
自己,自己,zì jǐ,oneself
它,它,tā,it
看,看,kàn,to see
不能,不能,bù néng,cannot
着,着,zhe,"aspect particle
indicating action in progress"
来,來,lái,to come
过,过,guò,to cross
只是,只是,zhǐ shì,merely
这样,这样,zhè yàng,this kind of
需要,需要,xū yào,to need
真的,真的,zhēn de,real
不会,不会,bù huì,improbable
这里,这里,zhè lǐ,here
告诉,告诉,gào su,to tell
再,再,zài,again
谁,谁,shéi,who
像,像,xiàng,to resemble
先生,先生,xiān sheng,teacher
可能,可能,kě néng,might (happen)
里,里,lǐ,lining
他们,他們,tā men,they
为什么,为什么,wèi shén me,why?
黑体,黑体,hēi tǐ,bold (typeface)
我要,我要,wǒ yào,I want
但是,但是,dàn shì,but
对,對,duì,right
所以,所以,suǒ yǐ,therefore
找,找,zhǎo,to try to find
已经,已经,yǐ jīng,already
因为,因为,yīn wèi,because
又,又,yòu,(once) again
觉得,觉得,jué de,to think
叫,叫,jiào,to shout
这么,这么,zhè me,so much
一起,一起,yī qǐ,in the same place
死,死,sǐ,to die
快,快,kuài,rapid
不要,不要,bù yào,don't!
那个,那个,nà ge,that one